"","Date","Irradiance","Energy","External_Temperature","Office_Temperature","Delta_Temperature","Day","Month","Hours","Working"
"1",(01/01/18 00:15:00),4.53628516624041,5,6.2478,18.0262,-11.7784,2,1,0,0
"2",(01/01/18 00:45:00),4.00664322250639,5,6.5086,17.8712,-11.3626,2,1,0,0
"3",(01/01/18 01:00:00),3.64864450127877,5.125,7.0098,17.8112,-10.8014,2,1,1,0
"4",(01/01/18 01:15:00),3.32987851662404,5.125,7.0277,17.7506,-10.7229,2,1,1,0
"5",(01/01/18 01:30:00),3.83009590792839,5,7.3161,17.7031,-10.387,2,1,1,0
"6",(01/01/18 01:45:00),3.55546675191816,5.125,7.0182,17.6387,-10.6205,2,1,1,0
"7",(01/01/18 02:00:00),3.79576726342711,5,6.9925,17.6168,-10.6243,2,1,2,0
"8",(01/01/18 02:15:00),2.92303069053708,5.125,7.3821,17.5787,-10.1966,2,1,2,0
"9",(01/01/18 02:30:00),3.3202621483376,5,7.3941,17.53,-10.1359,2,1,2,0
"10",(01/01/18 02:45:00),3.16313938618926,5.125,7.3674,17.4912,-10.1238,2,1,2,0
"11",(01/01/18 03:00:00),3.04053708439898,5.125,7.5815,17.4687,-9.8872,2,1,3,0
"12",(01/01/18 03:15:00),3.27102941176471,5.125,8.0686,17.4431,-9.3745,2,1,3,0
"13",(01/01/18 03:30:00),2.33434782608696,5,8.4041,17.3975,-8.9934,2,1,3,0
"14",(01/01/18 03:45:00),2.1774168797954,5.125,8.3615,17.3687,-9.0072,2,1,3,0
"15",(01/01/18 04:00:00),1.63796675191816,5,8.6763,17.3624,-8.6861,2,1,4,0
"16",(01/01/18 04:15:00),1.44670716112532,5.125,8.9909,17.3462,-8.3553,2,1,4,0
"17",(01/01/18 04:30:00),0.691476982097187,5.25,9.2663,17.3168,-8.0505,2,1,4,0
"18",(01/01/18 04:45:00),0.338382352941176,5.125,9.511,17.2812,-7.7702,2,1,4,0
"19",(01/01/18 05:00:00),0.304053708439898,5.375,9.4915,17.2812,-7.7897,2,1,5,0
"20",(01/01/18 05:15:00),0.215780051150895,5.125,9.6333,17.2687,-7.6354,2,1,5,0
"21",(01/01/18 05:30:00),0.122602301790281,5.25,9.4174,17.2556,-7.8382,2,1,5,0
"22",(01/01/18 05:45:00),0.186355498721228,5.125,9.2245,17.2293,-8.0048,2,1,5,0
"23",(01/01/18 06:00:00),0.058849104859335,5.125,9.1452,17.2068,-8.0616,2,1,6,0
"24",(01/01/18 06:15:00),0.058849104859335,5.25,9.0735,17.2068,-8.1333,2,1,6,0
"25",(01/01/18 06:30:00),0.07846547314578,5.25,9.0682,17.1906,-8.1224,2,1,6,0
"26",(01/01/18 06:45:00),0.073561381074169,5.125,9.1006,17.1743,-8.0737,2,1,6,0
"27",(01/01/18 07:00:00),0.034328644501279,5.25,9.0779,17.1649,-8.087,2,1,7,1
"28",(01/01/18 07:15:00),0.009808184143223,5.25,8.928,17.1518,-8.2238,2,1,7,1
"29",(01/01/18 07:30:00),0.009808184143223,5.25,9.0364,17.1456,-8.1092,2,1,7,1
"30",(01/01/18 07:45:00),0.014712276214834,4.75,8.8638,17.1362,-8.2724,2,1,7,1
"31",(01/01/18 08:00:00),0.024712276214834,4.375,8.9898,17.1362,-8.1464,2,1,8,1
"32",(01/01/18 08:15:00),0.579450127877238,4.5,9.0112,17.1,-8.0888,2,1,8,1
"33",(01/01/18 08:30:00),2.07832480818414,4.875,8.9918,17.0906,-8.0988,2,1,8,1
"34",(01/01/18 08:45:00),9.24382992327366,4.375,9.2251,17.0774,-7.8523,2,1,8,1
"35",(01/01/18 09:00:00),11.3181329923274,4.375,9.225,17.0743,-7.8493,2,1,9,1
"36",(01/01/18 09:15:00),22.8894245524297,4.8,9.2063,17.0843,-7.878,2,1,9,1
"37",(01/01/18 09:30:00),13.6265153452685,4.375,9.3303,17.0781,-7.7478,2,1,9,1
"38",(01/01/18 09:45:00),5.61503836317136,4.375,9.4339,17.075,-7.6411,2,1,9,1
"39",(01/01/18 10:00:00),14.1996099744246,4.25,9.5717,17.0718,-7.5001,2,1,10,1
"40",(01/01/18 10:15:00),17.8472826086956,4.125,9.6216,17.0687,-7.4471,2,1,10,1
"41",(01/01/18 10:30:00),28.9105051150895,4.8,9.8727,17.0687,-7.196,2,1,10,1
"42",(01/01/18 10:45:00),45.0651406649616,4.3,9.6382,17.0787,-7.4405,2,1,10,1
"43",(01/01/18 11:00:00),58.8255179028133,4.475,9.7657,17.0787,-7.313,2,1,11,1
"44",(01/01/18 11:15:00),360.190383631714,9.196,10.101,17.1012,-7.0002,2,1,11,1
"45",(01/01/18 11:30:00),154.809974424552,0.12,10.6379,17.1043,-6.4664,2,1,11,1
"46",(01/01/18 11:45:00),88.7020076726343,4.325,10.9822,17.1012,-6.119,2,1,11,1
"47",(01/01/18 12:00:00),88.260895140665,4.7,12.024,17.1175,-5.0935,2,1,12,1
"48",(01/01/18 12:15:00),276.852615089514,6.616,12.7151,17.1668,-4.4517,2,1,12,1
"49",(01/01/18 12:30:00),73.1087020460358,0.9,12.7215,17.1893,-4.4678,2,1,12,1
"50",(01/01/18 12:45:00),41.6921099744246,4.175,12.6552,17.1993,-4.5441,2,1,12,1
"51",(01/01/18 13:00:00),33.5574552429668,4.675,12.6409,17.1962,-4.5553,2,1,13,1
"52",(01/01/18 13:15:00),84.0960038363171,4.089,12.4467,17.2293,-4.7826,2,1,13,1
"53",(01/01/18 13:30:00),40.0608567774936,5.1,12.2676,17.2162,-4.9486,2,1,13,1
"54",(01/01/18 13:45:00),62.6690345268542,3.975,11.8622,17.2362,-5.374,2,1,13,1
"55",(01/01/18 14:00:00),120.228650895141,4.944,11.6606,17.2431,-5.5825,2,1,14,1
"56",(01/01/18 14:15:00),30.4581585677749,3.621,11.6052,17.2431,-5.6379,2,1,14,1
"57",(01/01/18 14:30:00),28.4217455242967,4.425,11.4694,17.2306,-5.7612,2,1,14,1
"58",(01/01/18 14:45:00),42.4395012787724,4.3,11.5219,17.2306,-5.7087,2,1,14,1
"59",(01/01/18 15:00:00),88.9213874680307,5.006,10.9293,17.2537,-6.3244,2,1,15,1
"60",(01/01/18 15:15:00),62.8997378516624,3.85,11.0983,17.2837,-6.1854,2,1,15,1
"61",(01/01/18 15:30:00),45.3153452685422,4.3,10.896,17.2843,-6.3883,2,1,15,1
"62",(01/01/18 15:45:00),22.0379092071611,3.875,10.9185,17.2843,-6.3658,2,1,15,1
"63",(01/01/18 16:00:00),9.27794757033248,4.5,10.2897,17.2743,-6.9846,2,1,16,1
"64",(01/01/18 16:15:00),9.2112020460358,4.75,8.8366,17.2612,-8.4246,2,1,16,1
"65",(01/01/18 16:30:00),6.64523657289003,4.875,7.9146,17.2487,-9.3341,2,1,16,1
"66",(01/01/18 16:45:00),3.58998721227621,4.875,7.4815,17.2456,-9.7641,2,1,16,1
"67",(01/01/18 17:00:00),4.5313810741688,5.75,6.9343,17.1937,-10.2594,2,1,17,1
"68",(01/01/18 17:15:00),5.38469309462916,5.875,6.8816,17.1743,-10.2927,2,1,17,1
"69",(01/01/18 17:30:00),4.24694373401535,5.75,7.0316,17.1518,-10.1202,2,1,17,1
"70",(01/01/18 17:45:00),8.53312020460358,5.875,6.9949,17.1487,-10.1538,2,1,17,1
"71",(01/01/18 18:00:00),7.493452685422,6,7.1159,17.1324,-10.0165,2,1,18,1
"72",(01/01/18 18:15:00),6.59109974424552,5.75,6.934,17.1031,-10.1691,2,1,18,1
"73",(01/01/18 18:30:00),6.30685421994885,5.875,6.7496,17.0774,-10.3278,2,1,18,1
"74",(01/01/18 18:45:00),5.94375959079284,5.875,6.8418,17.0612,-10.2194,2,1,18,1
"75",(01/01/18 19:00:00),7.30709718670077,5.75,7.0639,17.0349,-9.971,2,1,19,1
